User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
Find the supplier with the largest revenue from sales.,"SELECT products.SupplierID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY products.SupplierID ORDER BY TotalRevenue DESC LIMIT 1;","```sql
SELECT s.SupplierID, s.CompanyName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue
FROM suppliers s
JOIN products p ON s.SupplierID = p.SupplierID
JOIN [Order Details] od ON p.ProductID = od.ProductID
JOIN orders o ON od.OrderID = o.OrderID
GROUP BY s.SupplierID, s.CompanyName
ORDER BY TotalRevenue DESC
LIMIT 1;
```","The generated SQL query includes a join with 'suppliers' and 'orders' tables, which may not be necessary. It also selects 'CompanyName', which isn't specified in the ground truth query.","SELECT products.SupplierID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY products.SupplierID ORDER BY TotalRevenue DESC LIMIT 1;","Both queries perform the same operations: they join 'products' with '[Order Details]' tables, group by 'SupplierID', calculate 'TotalRevenue', and return the top supplier. The join order does not affect the result.",FT
Determine the products that have not been sold at all.,"SELECT p.ProductID, p.ProductName FROM products p LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID WHERE od.ProductID IS NULL;","```sql
SELECT p.ProductID, p.ProductName
FROM products p
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.ProductID IS NULL;
```",The generated SQL query is identical to the ground truth query and correctly identifies products that have not been sold by checking for NULL values in the [Order Details] table.,SELECT p.ProductName FROM products p LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID WHERE od.OrderID IS NULL;,Both queries use a LEFT JOIN to find products with no sales by checking for NULL in the joined table. The difference in selected columns does not affect the logic or result for identifying unsold products.,both
What is the percentage of orders delivered on time each month?,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, 100.0 * COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) / COUNT(OrderID) AS OnTimeDeliveryRate FROM orders GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');","```sql
SELECT 
    DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month,
    COUNT(CASE WHEN orders.ShippedDate <= orders.RequiredDate THEN 1 END) * 100.0 / COUNT(orders.OrderID) AS On_time_Delivery_Rate
FROM 
    orders
GROUP BY 
    Month
```","Both queries calculate the on-time delivery rate by comparing ShippedDate with RequiredDate for each month. They use the same logic and aggregate functions, and they group by the formatted OrderDate.","SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, (COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) * 100.0 / COUNT(*)) AS OnTimeDeliveryRate FROM orders GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');","Both queries calculate the monthly percentage of orders delivered on time by comparing ShippedDate and RequiredDate. They use COUNT to determine the number of on-time deliveries and the total number of orders, then compute the percentage. The difference in column used in COUNT (OrderID vs *) does not affect the result.",both
What is the total number of units on order for each product category?,"SELECT CategoryID, SUM(UnitsOnOrder) AS TotalUnitsOnOrder FROM products GROUP BY CategoryID;","```sql
SELECT p.CategoryID, SUM(p.UnitsOnOrder) AS TotalUnitsOnOrder
FROM products p
GROUP BY p.CategoryID;
```","Both queries calculate the total units on order for each product category by summing the 'UnitsOnOrder' grouped by 'CategoryID'. They achieve the same result, differing only in alias usage.","SELECT CategoryID, SUM(UnitsOnOrder) AS TotalUnitsOnOrder FROM products GROUP BY CategoryID;",The generated SQL query is identical to the ground truth query and correctly calculates the total number of units on order for each product category.,both
What is the total freight cost for each shipping method?,"SELECT ShipVia, SUM(Freight) AS TotalFreightCost FROM orders GROUP BY ShipVia","```sql
SELECT ShipVia, SUM(Freight) AS TotalFreight
FROM orders
GROUP BY ShipVia;
```",Both queries calculate the total freight cost for each shipping method by grouping on 'ShipVia' and summing 'Freight'. The slight difference in alias naming does not affect the result.,"SELECT ShipVia, SUM(Freight) AS TotalFreightCost FROM orders GROUP BY ShipVia;",Both queries calculate the total freight cost for each shipping method using the same logic and structure.,both
What is the average discount provided across all products?,SELECT AVG(Discount) FROM [Order Details];,"```sql
SELECT AVG(Discount) AS AverageDiscount FROM [Order Details];
```","Both queries calculate the average discount from the 'Order Details' table, yielding the same result. The generated query includes an alias which does not affect the outcome.",SELECT AVG(Discount) AS AverageDiscount FROM [Order Details];,Both queries calculate the average discount across all products from the 'Order Details' table. The column alias in the generated query does not affect the result.,both
Which suppliers have not been used in any orders?,SELECT s.SupplierID FROM suppliers s LEFT JOIN products p ON s.SupplierID = p.SupplierID LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID WHERE od.OrderID IS NULL;,"```sql
SELECT s.SupplierID, s.CompanyName
FROM suppliers s
LEFT JOIN products p ON s.SupplierID = p.SupplierID
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.OrderID IS NULL;
```",Both queries perform left joins to identify suppliers linked to products that do not appear in any orders. They essentially yield the same result set.,SELECT suppliers.CompanyName FROM suppliers LEFT JOIN products ON suppliers.SupplierID = products.SupplierID LEFT JOIN [Order Details] ON products.ProductID = [Order Details].ProductID WHERE [Order Details].OrderID IS NULL GROUP BY suppliers.CompanyName;,"The generated query selects 'suppliers.CompanyName' and groups by it, while the ground truth selects 's.SupplierID'. The ground truth is focused on SupplierID, while the generated query includes CompanyName, which might cause a mismatch in results.",Base
Calculate the total sales revenue per supplier for the last fiscal year.,"SELECT suppliers.CompanyName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS SupplierRevenue FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE YEAR(orders.OrderDate) = YEAR(CURRENT_DATE) - 1 GROUP BY suppliers.CompanyName ORDER BY SupplierRevenue DESC;","```sql
SELECT s.SupplierID, s.CompanyName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM suppliers s
JOIN products p ON s.SupplierID = p.SupplierID
JOIN [Order Details] od ON p.ProductID = od.ProductID
JOIN orders o ON od.OrderID = o.OrderID
WHERE o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR) 
GROUP BY s.SupplierID, s.CompanyName
```","The generated SQL uses a date range for the last year from the current date, but the ground truth query uses the last fiscal year based on a year check, which is more accurate for fiscal year calculation.","SELECT suppliers.CompanyName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE YEAR(orders.OrderDate) = YEAR(CURDATE()) - 1 GROUP BY suppliers.CompanyName;","The generated SQL query and the ground truth query both calculate the total sales revenue per supplier for the last fiscal year. The main difference is the alias used for the total sales column and the order by clause, but these do not affect the accuracy of the results for this specific question.",FT
What are the top five customers based on order volume?,"SELECT CustomerID, COUNT(OrderID) AS OrderVolume FROM orders GROUP BY CustomerID ORDER BY OrderVolume DESC LIMIT 5;","```sql
SELECT CustomerID, COUNT(OrderID) AS OrderVolume
FROM orders
GROUP BY CustomerID
ORDER BY OrderVolume DESC
LIMIT 5;
```","The generated SQL query and the ground truth query are functionally equivalent, producing the same results for finding the top five customers based on order volume.","SELECT c.CustomerID, COUNT(o.OrderID) AS OrderVolume FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID GROUP BY c.CustomerID ORDER BY OrderVolume DESC LIMIT 5;",Both queries correctly aggregate and sort the order volumes for each customer and limit the results to the top five customers.,both
What are the top 5 cities with the most supplier companies?,"SELECT City, COUNT(DISTINCT SupplierID) AS SupplierCount FROM suppliers GROUP BY City ORDER BY SupplierCount DESC LIMIT 5;","```sql
SELECT City, COUNT(*) AS SupplierCount
FROM suppliers
GROUP BY City
ORDER BY SupplierCount DESC
LIMIT 5;
```","The generated query counts all rows per city, while the ground truth counts distinct suppliers by SupplierID.","SELECT suppliers.City, COUNT(suppliers.SupplierID) AS Supplier_Count FROM suppliers GROUP BY suppliers.City ORDER BY Supplier_Count DESC LIMIT 5;","Both queries accurately count suppliers per city and order the results to find the top 5 cities, handling duplicates the same way without specifying DISTINCT on non-duplicate columns.",FT
What is the most common region suppliers are from?,"SELECT Region, COUNT(*) FROM suppliers GROUP BY Region ORDER BY COUNT(*) DESC;","```sql
SELECT Region, COUNT(*) AS SupplierCount
FROM suppliers
GROUP BY Region
ORDER BY SupplierCount DESC
LIMIT 1;
```","Both queries intend to find the most common region suppliers are from by counting suppliers per region and ordering them by the count in descending order. The generated query uses LIMIT 1 to select the top region, which directly answers the user's question.","SELECT SupplierRegion, COUNT(*) AS RegionCount FROM suppliers GROUP BY SupplierRegion ORDER BY RegionCount DESC;","The column names used for grouping and selecting are different: 'SupplierRegion' vs 'Region'. Assuming the schema uses the 'Region' column, the generated query might not be accurate.",Base
Find employees who have worked for more than 10 years and their number of orders handled.,"SELECT e.EmployeeID, COUNT(o.OrderID) FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE YEAR(CURRENT_DATE) - YEAR(e.HireDate) > 10 GROUP BY e.EmployeeID;","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, COUNT(o.OrderID) AS NumberOfOrders
FROM employees e
LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID
WHERE DATEDIFF(CURRENT_DATE, e.HireDate) > 3650
GROUP BY e.EmployeeID, e.FirstName, e.LastName;
```",Both queries determine employees who have worked more than 10 years and count their orders. Differences in how the date is calculated do not affect the final result. The generated query includes additional employee details.,"```sql
SELECT e.EmployeeID, COUNT(o.OrderID) as NumberOfOrders FROM employees e LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE e.HireDate <= DATE_SUB(CURDATE(), INTERVAL 10 YEAR) GROUP BY e.EmployeeID;
```","The generated query includes employees with zero orders due to the LEFT JOIN, which the ground truth query omits by using an INNER JOIN.",Base
What is the total freight cost by country?,"SELECT ShipCountry, SUM(Freight) AS TotalFreightCost FROM orders GROUP BY ShipCountry;","```sql
SELECT ShipCountry, SUM(Freight) AS TotalFreight
FROM orders
GROUP BY ShipCountry;
```","The generated SQL query and the ground truth query are functionally equivalent, both calculating the total freight cost grouped by country. The only difference is the alias for the SUM(Freight) column, which does not affect the outcome.","SELECT ShipCountry, SUM(Freight) AS TotalFreight FROM orders GROUP BY ShipCountry ORDER BY TotalFreight DESC;","Both queries calculate the total freight by country. The generated query orders the results by total freight cost, but this does not affect the accuracy of the answer.",both
Determine the top 5 customers by lifetime value.,"SELECT customers.CustomerID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS LifetimeValue FROM customers JOIN orders ON customers.CustomerID = orders.CustomerID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY customers.CustomerID ORDER BY LifetimeValue DESC LIMIT 5;","```sql
SELECT c.CustomerID, c.CompanyName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS LifetimeValue
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY c.CustomerID, c.CompanyName
ORDER BY LifetimeValue DESC
LIMIT 5;
```","The generated query includes 'CompanyName' in the SELECT and GROUP BY clauses, which could affect the results if customers are not uniquely identified by 'CustomerID' alone. The ground truth query does not include 'CompanyName', suggesting it may not be necessary for the given task.","SELECT c.CustomerID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS CustomerLifetimeValue FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.CustomerID ORDER BY CustomerLifetimeValue DESC LIMIT 5;",Both queries calculate the lifetime value by summing up the discounted total of order details for each customer and list the top 5 customers by this value. The structural differences do not affect the result.,FT
Identify the regions with the highest order volumes.,"SELECT ShipRegion, COUNT(OrderID) AS OrderVolume FROM orders GROUP BY ShipRegion ORDER BY OrderVolume DESC;","```sql
SELECT ShipRegion, COUNT(OrderID) AS OrderVolume
FROM orders
GROUP BY ShipRegion
ORDER BY OrderVolume DESC;
```",The generated SQL query accurately answers the user's question and matches the ground truth query's logic. Both queries list regions by order volume in descending order.,"SELECT ShipRegion, COUNT(OrderID) AS OrderVolume FROM orders GROUP BY ShipRegion ORDER BY OrderVolume DESC LIMIT 3;","The generated query limits the results to the top 3 regions, but the ground truth query includes all regions.",Base
Which employee generated the highest sales in Q2 2023?,"SELECT employees.FirstName, employees.LastName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-06-30' GROUP BY employees.EmployeeID ORDER BY total_sales DESC LIMIT 1","```sql
SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales 
FROM [Order Details] 
JOIN orders ON [Order Details].OrderID = orders.OrderID 
JOIN employees ON orders.EmployeeID = employees.EmployeeID 
WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-06-30' 
GROUP BY employees.EmployeeID 
ORDER BY total_sales DESC 
LIMIT 1
```","The generated SQL query selects EmployeeID, while the ground truth query selects FirstName and LastName, resulting in different output structures.","SELECT employees.EmployeeID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-06-30' GROUP BY employees.EmployeeID ORDER BY total_sales DESC LIMIT 1","Both queries correctly calculate the highest sales by an employee in Q2 2023 by joining the same tables and using the same logic. The difference is in the columns selected, but the core requirement of identifying the employee with the highest sales is met.",FT
How many orders were placed and not yet shipped?,SELECT COUNT(OrderID) AS UnshippedOrders FROM orders WHERE ShippedDate IS NULL;,"```sql
SELECT COUNT(OrderID) AS UnshippedOrders
FROM orders
WHERE ShippedDate IS NULL;
```","Both queries accurately count orders that have not been shipped, as they both check for ShippedDate being NULL.",SELECT COUNT(Customers.CustomerID) AS UnshippedOrders FROM orders JOIN Customers ON orders.CustomerID = Customers.CustomerID WHERE ShippedDate IS NULL,Both queries correctly count the number of unshipped orders by checking for NULL in the ShippedDate column. The difference in the join and counting fields does not affect the outcome.,both
What is the total freight cost incurred for each shipping country?,"SELECT o.ShipCountry, SUM(o.Freight) AS TotalFreight FROM orders o GROUP BY o.ShipCountry;","```sql
SELECT ShipCountry, SUM(Freight) AS TotalFreightCost
FROM orders
GROUP BY ShipCountry;
```",Both queries calculate the total freight cost for each shipping country by summing the Freight column and grouping by ShipCountry from the orders table.,"SELECT ShipCountry, SUM(Freight) AS TotalFreight FROM orders GROUP BY ShipCountry;","Both queries select the ShipCountry and the total freight using SUM(Freight). They group by ShipCountry, so they yield the same result.",both
Which products are below their reorder level?,SELECT ProductName FROM products WHERE UnitsInStock < ReorderLevel;,"```sql
SELECT ProductID, ProductName, UnitsInStock, ReorderLevel 
FROM products 
WHERE UnitsInStock < ReorderLevel;
```","The generated query returns more columns (ProductID, UnitsInStock, ReorderLevel) than the ground truth query, which only returns ProductName.","SELECT ProductID, ProductName FROM products WHERE UnitsInStock < ReorderLevel;",Both queries identify products where UnitsInStock is less than ReorderLevel. The extra ProductID column in the generated query does not affect the condition or main result concerning which products are below their reorder level.,FT
Which employees have not recorded any sales this year?,SELECT e.EmployeeID FROM employees e LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID AND YEAR(o.OrderDate) = YEAR(CURDATE()) WHERE o.OrderID IS NULL;,"```sql
SELECT e.EmployeeID, e.FirstName, e.LastName
FROM employees e
LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID AND YEAR(o.OrderDate) = YEAR(CURRENT_DATE)
LEFT JOIN [Order Details] od ON o.OrderID = od.OrderID
WHERE od.OrderID IS NULL;
```","The generated SQL query includes an extra join with 'Order Details' and checks for 'od.OrderID IS NULL', which is unnecessary for identifying employees with no sales.","SELECT employees.EmployeeID, employees.FirstName, employees.LastName FROM employees LEFT JOIN orders ON employees.EmployeeID = orders.EmployeeID AND YEAR(orders.OrderDate) = YEAR(CURDATE()) WHERE orders.OrderID IS NULL;","The generated query includes additional columns (FirstName, LastName) that are not present in the ground truth query. This may lead to different results if only EmployeeID is needed.",None
Which products are below their reorder level and need to be restocked?,SELECT ProductName FROM products WHERE UnitsInStock < ReorderLevel;,"```sql
SELECT ProductID, ProductName, UnitsInStock, ReorderLevel
FROM products
WHERE UnitsInStock < ReorderLevel;
```","The generated SQL query returns additional columns (ProductID, UnitsInStock, ReorderLevel) compared to the ground truth query, which only returns ProductName. This leads to different results.",SELECT ProductName FROM products WHERE UnitsInStock <= ReorderLevel;,"The generated query uses '<=' which includes products with UnitsInStock equal to ReorderLevel, while the ground truth uses '<' for strictly below.",None
Which employee handled the most orders that were shipped late?,"SELECT employees.EmployeeID, COUNT(orders.OrderID) AS LateOrders FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID WHERE ShippedDate > RequiredDate GROUP BY employees.EmployeeID ORDER BY LateOrders DESC LIMIT 1;","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, COUNT(o.OrderID) AS LateOrders
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
WHERE o.ShippedDate > o.RequiredDate
GROUP BY e.EmployeeID
ORDER BY LateOrders DESC
LIMIT 1;
```","Both queries correctly join the employees and orders tables, filter for late shipments, group by employee, and order by the count of late orders to find the employee who handled the most late shipments. The inclusion of employee names in the generated query does not affect the result.","SELECT EmployeeID, COUNT(OrderID) AS LateOrderCount FROM orders WHERE ShippedDate > RequiredDate GROUP BY EmployeeID ORDER BY LateOrderCount DESC LIMIT 1;","Both queries correctly count orders where ShippedDate is later than RequiredDate, group by EmployeeID, and return the employee with the most late orders. The join in the ground truth query does not affect the result.",both
List all products that have never been ordered.,SELECT ProductName FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details]);,"```sql
SELECT p.ProductID, p.ProductName 
FROM products p 
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID 
WHERE od.ProductID IS NULL;
```","Both queries correctly identify products that have never been ordered. The first query uses a LEFT JOIN with a NULL check, while the second query uses a NOT IN clause with a subquery. Both yield the same result.",SELECT ProductName FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details]);,Both queries are identical and correctly select products that have never been ordered by checking ProductID against the Order Details table.,both
What is the percentage of orders delivered on or before the required date each month?,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, 100.0 * COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) / COUNT(OrderID) AS OnTimeDeliveryRate FROM orders GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    COUNT(OrderID) AS TotalOrders,
    COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) AS OnTimeDeliveries,
    (COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) / COUNT(OrderID)) * 100 AS OnTimeDeliveryRate
FROM 
    orders
GROUP BY 
    Month
ORDER BY 
    Month;
```","Both queries calculate the percentage of orders delivered on or before the required date each month. The generated query includes additional columns (TotalOrders and OnTimeDeliveries) and an explicit ORDER BY clause, but these do not affect the correctness of OnTimeDeliveryRate calculation.","SELECT DATE_TRUNC('month', OrderDate) AS Month, (SUM(CASE WHEN ShippedDate <= RequiredDate THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS OnTimeDeliveryRate FROM orders GROUP BY Month;",The generated query uses DATE_TRUNC and considers 'month' but doesn't specify the correct format like the ground truth which uses DATE_FORMAT with '%Y-%m'. This difference might affect monthly grouping.,Base
Which city has the highest average shipping cost?,"SELECT ShipCity, AVG(Freight) AS AvgShippingCost FROM orders GROUP BY ShipCity ORDER BY AvgShippingCost DESC LIMIT 1;","```sql
SELECT ShipCity, AVG(Freight) AS AverageShippingCost
FROM orders
GROUP BY ShipCity
ORDER BY AverageShippingCost DESC
LIMIT 1;
```",Both queries accurately calculate the average shipping cost for each city and return the city with the highest average.,"SELECT ShipCity, AVG(Freight) AS AvgShippingCost FROM orders GROUP BY ShipCity ORDER BY AvgShippingCost DESC LIMIT 1;","The generated SQL query is identical to the ground truth query, and both correctly calculate the city with the highest average shipping cost.",both
Determine which products have had discounts applied most frequently.,"SELECT p.ProductName, COUNT(od.Discount) AS DiscountCount FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID WHERE od.Discount > 0 GROUP BY p.ProductName ORDER BY DiscountCount DESC;","```sql
SELECT ProductID, COUNT(*) AS DiscountCount
FROM [Order Details]
WHERE Discount > 0
GROUP BY ProductID
ORDER BY DiscountCount DESC;
```","The generated query returns ProductID, while the ground truth returns ProductName. To fully match, the generated query should join with products table and select ProductName.","SELECT ProductID, COUNT(*) AS DiscountCount FROM [Order Details] WHERE Discount > 0 GROUP BY ProductID ORDER BY DiscountCount DESC",The generated query lists ProductID while the ground truth lists ProductName. The results are different identifiers for products.,None
Identify the countries with the most unique suppliers.,"SELECT Country, COUNT(DISTINCT SupplierID) AS UniqueSuppliers FROM suppliers GROUP BY Country ORDER BY UniqueSuppliers DESC;","```sql
SELECT Country, COUNT(DISTINCT SupplierID) AS UniqueSuppliers
FROM suppliers
GROUP BY Country
ORDER BY UniqueSuppliers DESC;
```","The generated SQL query accurately answers the user's question and yields the same results as the ground truth query. Both queries select the country and count distinct suppliers, group by country, and order the results by the number of unique suppliers in descending order.","SELECT Country, COUNT(DISTINCT SupplierID) AS UniqueSuppliers FROM suppliers GROUP BY Country ORDER BY UniqueSuppliers DESC;","Both the generated SQL query and the ground truth query are identical and correctly answer the user's question by selecting countries and counting the number of unique suppliers for each country, ordering them in descending order.",both
Which employees are linked to the most orders?,"SELECT EmployeeID, COUNT(OrderID) AS OrderCount FROM orders GROUP BY EmployeeID ORDER BY OrderCount DESC LIMIT 1;","```sql
SELECT EmployeeID, COUNT(OrderID) AS OrderCount
FROM orders
GROUP BY EmployeeID
ORDER BY OrderCount DESC;
```","The generated query lists all employees ordered by the number of orders, but it does not limit the results to the employee with the most orders like the ground truth query does.","SELECT e.EmployeeID, COUNT(o.OrderID) AS NumberOfOrders FROM employees e LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID GROUP BY e.EmployeeID ORDER BY NumberOfOrders DESC LIMIT 1;","Both queries are functionally equivalent as they both count orders per employee and return the employee with the most orders. Any employee not linked to orders will not be considered as the result is filtered by the highest count, making a JOIN unnecessary.",FT
Which city has the highest number of orders placed in 2023?,"SELECT orders.ShipCity, COUNT(orders.OrderID) AS num_orders FROM orders WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY orders.ShipCity ORDER BY num_orders DESC LIMIT 1","```sql
SELECT ShipCity, COUNT(OrderID) AS number_of_orders
FROM orders
WHERE YEAR(OrderDate) = 2023
GROUP BY ShipCity
ORDER BY number_of_orders DESC
LIMIT 1;
```","Both queries effectively filter orders from the year 2023 and group by ShipCity to count orders, then sort in descending order and limit the result to one city with the highest number of orders. The methods of filtering the date slightly differ but achieve the same outcome.","SELECT ShipCity, COUNT(OrderID) AS total_orders FROM orders WHERE YEAR(OrderDate) = 2023 GROUP BY ShipCity ORDER BY total_orders DESC LIMIT 1;",Both queries count the orders per city for the year 2023 and return the city with the highest count. The use of YEAR(OrderDate) and BETWEEN ensures they capture all orders in 2023.,both
How many products have zero units in stock?,SELECT COUNT(ProductID) AS NumberOfProductsWithZeroStock FROM products WHERE UnitsInStock = 0;,"```sql
SELECT COUNT(*) AS ZeroUnitsInStock
FROM products
WHERE UnitsInStock = 0;
```","Both queries count the number of products with zero units in stock, using the same condition and table. The choice of column in COUNT does not affect the result.",SELECT COUNT(*) FROM products WHERE UnitsInStock = 0;,Both queries count the number of products with zero units in stock.,both
Analyze the correlation between employee job title and sales performance.,"SELECT employees.Title, AVG(TotalSales) AS AverageSales FROM (SELECT employees.Title, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY employees.EmployeeID, employees.Title) AS EmployeeSales GROUP BY employees.Title;","```sql
SELECT e.Title, 
       SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY e.Title
ORDER BY TotalSales DESC;
```","The generated query calculates total sales per job title, while the ground truth query calculates the average sales per job title, thus they answer different aspects of the correlation.","SELECT employees.Title, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID GROUP BY employees.Title ORDER BY total_sales DESC","The generated query calculates total sales for each job title, while the ground truth query computes the average sales per job title.",None
What is the average order fulfillment time for each month?,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY Month;","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    AVG(DATEDIFF(ShippedDate, OrderDate)) AS Average_Fulfillment_Time
FROM 
    orders
GROUP BY 
    Month
```","Both queries calculate the average order fulfillment time per month by formatting the OrderDate to '%Y-%m' and using the AVG and DATEDIFF functions. They group results by the formatted month, providing the same output despite differences in alias names.","SELECT EXTRACT(YEAR FROM orders.OrderDate) AS Year, EXTRACT(MONTH FROM orders.OrderDate) AS Month, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS AvgFulfillmentTime FROM orders GROUP BY Year, Month;","Both queries calculate the average order fulfillment time per month using similar logic. The generated query separates year and month, while the ground truth combines them, but the result is effectively the same.",both
Identify orders with a shipping delay greater than 7 days.,SELECT OrderID FROM orders WHERE ShippedDate > RequiredDate + INTERVAL '7' DAY;,"```sql
SELECT *
FROM orders
WHERE DATEDIFF(ShippedDate, OrderDate) > 7;
```","The generated query checks for orders shipped more than 7 days after the order date, while the ground truth query checks for orders shipped more than 7 days after the required date.","SELECT OrderID, DATEDIFF(ShippedDate, RequiredDate) AS ShippingDelay FROM orders WHERE DATEDIFF(ShippedDate, RequiredDate) > 7;","The generated query calculates the delay as (ShippedDate - RequiredDate) and checks if it's greater than 7. The ground truth checks if ShippedDate is more than 7 days after RequiredDate, not just a simple difference.",None
How many products are currently at or above their reorder level?,SELECT COUNT(*) AS AtOrAboveReOrder FROM products WHERE UnitsInStock >= ReorderLevel;,"```sql
SELECT COUNT(*) AS ProductsAtOrAboveReorderLevel
FROM products
WHERE UnitsInStock >= ReorderLevel;
```",Both queries count the number of products where UnitsInStock is greater than or equal to ReorderLevel. They will yield the same result.,SELECT COUNT(*) AS products_at_or_above_reorder FROM products WHERE UnitsInStock >= ReorderLevel;,"Both queries count products with UnitsInStock greater than or equal to ReorderLevel, differing only in alias naming.",both
