Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
What is the total number of orders shipped via each shipping method per month?,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, ShipVia, COUNT(OrderID) AS OrdersShipped FROM orders GROUP BY Month, ShipVia;","SELECT ShipVia, DATE_FORMAT(OrderDate, '%Y-%m') AS Month, COUNT(OrderID) AS OrdersCount FROM orders GROUP BY ShipVia, Month;",The generated SQL query and the ground truth SQL query will produce the same result set. Both group the data by shipping method and month and count the number of orders. The order of the columns in the GROUP BY clause does not affect the result.,"```sql
SELECT 
    ShipVia, 
    DATE_FORMAT(ShippedDate, '%Y-%m') AS Month, 
    COUNT(OrderID) AS TotalOrders
FROM 
    orders
WHERE 
    ShippedDate IS NOT NULL
GROUP BY 
    ShipVia, 
    Month
ORDER BY 
    Month;
```",The generated SQL query uses 'ShippedDate' instead of 'OrderDate' and also limits the results to non-null shipped dates. These deviations could lead to different results compared to the ground truth query which counts orders based on 'OrderDate'.,FT,Base
Which products need to be reordered?,SELECT ProductName FROM products WHERE UnitsInStock <= ReorderLevel;,SELECT ProductName FROM products WHERE UnitsInStock < ReorderLevel;,"The generated SQL query uses the '<' operator, which excludes items where UnitsInStock is exactly equal to ReorderLevel. The ground truth query correctly includes these items with the '<=' operator.","```sql
SELECT ProductID, ProductName, UnitsInStock, ReorderLevel
FROM products
WHERE UnitsInStock <= ReorderLevel;
```","The generated SQL query correctly identifies the products that need to be reordered by checking if the UnitsInStock is less than or equal to the ReorderLevel. While it includes additional columns (ProductID and UnitsInStock), these do not detract from its correctness.",Base,FT
How many orders were placed and fulfilled in each month of 2023?,"SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month, COUNT(orders.OrderID) AS orders_placed, COUNT(CASE WHEN orders.ShippedDate IS NOT NULL THEN 1 END) AS orders_fulfilled FROM orders WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY month ORDER BY month","SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month, COUNT(orders.OrderID) AS orders_placed FROM orders WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY month;","The generated SQL query only counts the orders placed in each month of 2023, but does not account for the orders fulfilled. The user question asked for both the number of orders placed and fulfilled, which the ground truth query correctly addresses by including a condition to count orders with a shipped date.","```sql
SELECT MONTH(orders.OrderDate) AS month, 
       COUNT(orders.OrderID) AS total_orders 
FROM orders 
WHERE YEAR(orders.OrderDate) = 2023 
AND orders.ShippedDate IS NOT NULL 
GROUP BY MONTH(orders.OrderDate)
```","The generated SQL query does not distinguish between orders placed and orders fulfilled. It only counts orders that were placed and fulfilled for each month of 2023, but the user question asks for a count of all orders placed in each month and then how many of them were fulfilled. The ground truth query correctly separates these counts.",Both,None
What is the total value of orders shipped in the first quarter of 2023?,"SELECT QUARTER(o.OrderDate) AS OrderQuarter, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalValue FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE YEAR(o.OrderDate) = 2023 GROUP BY OrderQuarter;",SELECT SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalValueQ12023 FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.ShippedDate BETWEEN '2023-01-01' AND '2023-03-31';,"The generated SQL query correctly calculates the total value of orders shipped in the first quarter of 2023 by summing the UnitPrice, Quantity, and applying the Discount, and it filters orders shipped between January 1st, 2023 and March 31st, 2023. The difference in using ShippedDate versus OrderDate is context-specific but generally acceptable as both refer to the timeframe for the first quarter of 2023.","```sql
SELECT SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalValue
FROM orders o
JOIN [Order Details] od ON o.OrderID = od.OrderID
WHERE o.ShippedDate >= '2023-01-01' AND o.ShippedDate <= '2023-03-31';
```","The generated SQL query correctly calculates the total value of orders shipped in the first quarter of 2023. However, the ground truth SQL query focuses on orders placed in 2023 and groups the result by quarter, which is not asked by the user. Both are different in their approach, but the generated query satisfies the user's question by directly calculating the total value of orders shipped in the specified period.",FT,Base
What is the Customer Retention Rate for the last 6 months?,"SELECT (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN DATE_SUB(CURDATE(), INTERVAL 6 MONTH) AND CURDATE()) / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate < DATE_SUB(CURDATE(), INTERVAL 6 MONTH)) AS CustomerRetentionRate;","To calculate the Customer Retention Rate for the last 6 months, we need to compare the number of unique customers who placed orders in the last 6 months with those who had placed orders before that period.

## SQL Query:
```sql
WITH current_customers AS (
    SELECT COUNT(DISTINCT orders.CustomerID) AS CurrentRate 
    FROM orders 
    WHERE orders.OrderDate BETWEEN DATE_SUB(CURDATE(), INTERVAL 6 MONTH) AND CURDATE()
), 
past_customers AS (
    SELECT COUNT(DISTINCT orders.CustomerID) AS PastRate 
    FROM orders 
    WHERE orders.OrderDate < DATE_SUB(CURDATE(), INTERVAL 6 MONTH)
) 
SELECT (CurrentRate / PastRate) * 100 AS RetentionRate 
FROM current_customers, past_customers;
```",Both the generated query and the ground truth query are calculating the Customer Retention Rate for the last 6 months. The generated query uses Common Table Expressions (CTEs) to get the counts of unique customers in the current and past periods and then computes the retention rate. The ground truth query directly uses subqueries within the SELECT statement to achieve the same result. Both queries correctly utilize the schema and answer the question.,"```sql
SELECT 
    (COUNT(DISTINCT orders.CustomerID) 
     WHERE orders.OrderDate BETWEEN DATEADD(MONTH, -6, GETDATE()) AND GETDATE()) 
    / 
    (COUNT(DISTINCT orders.CustomerID) 
     WHERE orders.OrderDate < DATEADD(MONTH, -6, GETDATE())) 
) AS CustomerRetentionRate
FROM 
    orders;
```","The generated SQL query is incorrect because it improperly uses COUNT in the SELECT clause without proper subqueries or aggregation, and it erroneously structures the WHERE clauses inside the COUNT function. The ground truth query correctly separates the counts into distinct subqueries.",FT,Base
Which product category has the highest total sales in 2023?,"SELECT categories.CategoryName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN categories ON products.CategoryID = categories.CategoryID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY categories.CategoryName ORDER BY total_sales DESC","SELECT categories.CategoryID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN categories ON products.CategoryID = categories.CategoryID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY categories.CategoryID ORDER BY total_sales DESC","The generated SQL query is missing the 'orders' table in the JOIN clauses. Specifically, it should include 'JOIN orders ON [Order Details].OrderID = orders.OrderID'. As a result, the query will not filter by the correct order date range, which is necessary to answer the question correctly.","```sql
SELECT categories.CategoryID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
JOIN products ON [Order Details].ProductID = products.ProductID
JOIN categories ON products.CategoryID = categories.CategoryID
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31'
GROUP BY categories.CategoryID
ORDER BY total_sales DESC
LIMIT 1;
```","The generated SQL query mistakenly left out the JOIN clause for the 'orders' table; hence, it will not filter the results by the OrderDate. Additionally, the generated query groups by 'CategoryID', while the ground truth query groups by 'CategoryName'. The ground truth query aim is to display the category name with the highest total sales.",Both,None
What is the total inventory value of products currently in stock?,SELECT SUM(UnitsInStock * UnitPrice) AS TotalInventoryValue FROM products;,SELECT SUM(UnitPrice * UnitsInStock) AS TotalInventoryValue FROM products WHERE Discontinued = 0;,"The generated SQL query includes a condition (WHERE Discontinued = 0) to filter out discontinued products, while the user question and ground truth SQL query do not specify this condition. The Ground Truth SQL Query calculates the total inventory value of all products in stock without any condition on the Discontinued status.","```sql
SELECT SUM(UnitPrice * UnitsInStock) AS TotalInventoryValue
FROM products
WHERE Discontinued = 0;
```","The generated query includes a condition `WHERE Discontinued = 0`, which only considers products that are not discontinued. The ground truth query does not have this condition and thus considers all products. Therefore, the generated query might exclude some products, resulting in a different total inventory value.",Both,None
Find the average quantity of products ordered per order.,SELECT AVG(Quantity) AS AverageQuantity FROM [Order Details];,"```sql
SELECT AVG(Quantity) AS AvgOrderQuantity FROM [Order Details];
```",The generated SQL query and the ground truth SQL query are functionally equivalent. Both queries calculate the average quantity of products ordered per order from the 'Order Details' table. The difference in column alias ('AvgOrderQuantity' vs. 'AverageQuantity') does not affect the correctness of the query as it answers the user question correctly.,"```sql
SELECT AVG(SUM([Order Details].Quantity)) AS AverageQuantityPerOrder
FROM orders
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY orders.OrderID;
```","The generated SQL query attempts to calculate the average of summed quantities per order, which would result in an incorrect average of averages. The ground truth query correctly calculates the overall average quantity of products by directly averaging the Quantity column from the [Order Details] table.",FT,Base
Calculate the average age of employees.,SELECT AVG((CURRENT_DATE - BirthDate) / 365.25) AS AvgAge FROM employees;,"SELECT e.EmployeeID, (strftime('%Y', 'now') - strftime('%Y', e.BirthDate)) AS Age FROM employees e;","The generated query calculates the age of each employee but does not calculate the average age. In contrast, the ground truth query correctly computes the average age of all employees using the AVG function.","```sql
SELECT AVG(YEAR(CURDATE()) - YEAR(BirthDate)) AS AverageAge FROM employees;
```","Both queries correctly calculate the average age of employees. The generated SQL uses a different method (YEAR function) compared to the ground truth (arithmetic based on CURRENT_DATE), but both methods will yield the correct result.",Base,FT
Which customer region had the highest average order fulfillment time in the past month?,"SELECT ShipRegion, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AvgFulfillmentTime FROM orders WHERE OrderDate >= CURDATE() - INTERVAL 1 MONTH GROUP BY ShipRegion ORDER BY AvgFulfillmentTime DESC;","SELECT o.ShipRegion, AVG(DATEDIFF(DAY, o.OrderDate, o.ShippedDate)) AS AvgFulfillmentTime FROM orders o WHERE o.OrderDate >= DATEADD(MONTH, -1, CURRENT_DATE) GROUP BY o.ShipRegion ORDER BY AvgFulfillmentTime DESC",Both queries correctly compute the average order fulfillment time for each customer region in the past month and order the results in descending order of the average fulfillment time. The differences in SQL functions and syntax do not affect the correctness of the query.,"```sql
SELECT ShipRegion, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AverageFulfillmentTime
FROM orders
WHERE OrderDate >= DATEADD(MONTH, -1, GETDATE())
GROUP BY ShipRegion
ORDER BY AverageFulfillmentTime DESC
LIMIT 1;
```","The generated query intends to find the past month's records by using DATEADD with GETDATE. However, GETDATE returns the current date and time which could lead to a difference in the time portion. The ground truth query accurately uses CURDATE() which handles date only and ensures full days in the calculation.",FT,Base
What is the on-time delivery rate for the month of April 2023?,SELECT COUNT(orders.OrderID) FILTER (WHERE orders.ShippedDate <= orders.RequiredDate) / COUNT(orders.OrderID) AS on_time_delivery_rate FROM orders WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30',SELECT COUNT(CASE WHEN orders.ShippedDate <= orders.RequiredDate THEN 1 END) / COUNT(orders.OrderID) AS on_time_delivery_rate FROM orders WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30',Both SQL queries calculate the on-time delivery rate correctly by counting the number of orders where the `ShippedDate` is on or before the `RequiredDate` and dividing it by the total number of orders. The difference in syntax (using `CASE WHEN` vs. `FILTER`) does not affect the correctness of the result.,"```sql
SELECT COUNT(orders.OrderID) / COUNT(orders.OrderID) AS on_time_delivery_rate 
FROM orders 
WHERE orders.OrderDate BETWEEN '2023-04-01' AND '2023-04-30' 
AND orders.ShippedDate <= orders.RequiredDate
```","The generated SQL query incorrectly calculates the on-time delivery rate. It calculates the same count for both the numerator and the denominator, providing an incorrect result of 1 every time. The ground truth correctly filters the orders that were shipped on time and then divides by the total number of orders.",FT,Base
What is the on-time delivery rate for each month in 2023?,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS month, COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 ELSE NULL END) * 1.0 / COUNT(*) AS on_time_delivery_rate FROM orders WHERE YEAR(OrderDate) = 2023 GROUP BY month;","SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, COUNT(CASE WHEN ShippedDate <= RequiredDate THEN 1 END) / COUNT(OrderID) * 100 AS OnTimeDeliveryRate FROM orders WHERE DATE_FORMAT(OrderDate, '%Y') = '2023' GROUP BY Month;",Both the generated SQL query and the ground truth SQL query capture the on-time delivery rate for each month in 2023 by grouping the data by months and comparing the ShippedDate with the RequiredDate. The difference in the date functions and slight variations in the COUNT function do not affect the correctness of the result.,"```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    COUNT(OrderID WHERE ShippedDate <= RequiredDate) / COUNT(OrderID) AS OnTimeDeliveryRate
FROM 
    orders
WHERE 
    YEAR(OrderDate) = 2023
GROUP BY 
    Month;
```","The generated SQL query is syntactically incorrect. The COUNT function is incorrectly used with a WHERE clause inside it. Additionally, the result of the division should be cast to a decimal to avoid integer division issues.",FT,Base
What is the total number of units on order for each product in 2022?,"SELECT products.ProductID, SUM(products.UnitsOnOrder) AS units_on_order FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-12-31' GROUP BY products.ProductID","SELECT products.ProductID, SUM(products.UnitsOnOrder) AS total_units_on_order FROM products GROUP BY products.ProductID",The generated SQL query does not filter orders by the year 2022 and does not join the 'Order Details' and 'orders' tables to correctly aggregate the units on order for each product.,"```sql
SELECT products.ProductID, SUM(products.UnitsOnOrder) AS total_units_on_order
FROM products
JOIN orders ON products.ProductID = [Order Details].ProductID
WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2022-12-31'
GROUP BY products.ProductID
```","The generated SQL query does not include a join on [Order Details] table, which is necessary to properly link products and orders directly.",Both,None
Calculate the total quantity of products sold per product category.,"SELECT CategoryID, SUM([Order Details].Quantity) AS TotalQuantity FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY CategoryID","SELECT p.CategoryID, SUM(od.Quantity) AS TotalQuantity FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID JOIN products p ON od.ProductID = p.ProductID GROUP BY p.CategoryID;",The generated SQL query correctly joins the tables and sums the quantities per product category. It includes all necessary tables and joins to accurately compute the total quantity of products sold per product category.,"```sql
SELECT ProductID, SUM(Quantity) AS TotalQuantity
FROM [Order Details]
GROUP BY ProductID;
```","The generated SQL query groups the total quantity sold by ProductID, not by product category. The ground truth query correctly groups by CategoryID after joining the products and [Order Details] tables.",FT,Base
What are the total units ordered for each supplier?,"SELECT s.SupplierID, SUM(od.Quantity) AS TotalUnitsOrdered FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY s.SupplierID","```sql
SELECT s.SupplierID, SUM(od.Quantity) AS TotalUnitsOrdered 
FROM suppliers s 
JOIN products p ON s.SupplierID = p.SupplierID 
JOIN [Order Details] od ON p.ProductID = od.ProductID 
GROUP BY s.SupplierID 
ORDER BY TotalUnitsOrdered DESC;
```",The generated SQL query correctly computes the total units ordered for each supplier by joining the appropriate tables and aggregating the data with SUM. The ORDER BY clause in the generated query does not alter the correctness of the result.,"```sql
SELECT p.SupplierID, SUM(od.Quantity) AS TotalUnitsOrdered
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.SupplierID;
```","The generated query joins the `products` table with the `Order Details` table directly. It uses `SupplierID` from the `products` table instead of joining the `suppliers` table to get the correct `SupplierID`. This could potentially cause errors if the `SupplierID` is not directly referenced in the `products` table, or it may miss context from the `suppliers` table.",FT,Base
Which employee generated the most sales in the last year?,"SELECT e.EmployeeID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE YEAR(o.OrderDate) = YEAR(CURDATE()) GROUP BY e.EmployeeID ORDER BY TotalSales DESC LIMIT 1;","SELECT e.EmployeeID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE YEAR(o.OrderDate) = YEAR(CURDATE()) - 1 GROUP BY e.EmployeeID ORDER BY TotalSales DESC LIMIT 1;","The generated SQL query filters the orders to the previous year using 'YEAR(o.OrderDate) = YEAR(CURDATE()) - 1', whereas the ground truth query filters to the current year using 'YEAR(o.OrderDate) = YEAR(CURDATE())'. This difference means the generated query answers a different question than asked.","```sql
SELECT e.FirstName, e.LastName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
WHERE o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR)
GROUP BY e.EmployeeID
ORDER BY TotalSales DESC
LIMIT 1;
```","The generated SQL query incorrectly calculates the date range by using DATE_SUB(CURDATE(), INTERVAL 1 YEAR). This would include the last 365 days instead of data for the last calendar year. The correct condition is YEAR(o.OrderDate) = YEAR(CURDATE()).",Both,None
What is the total sales for each product category this year?,"SELECT categories.CategoryName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID JOIN products ON [Order Details].ProductID = products.ProductID JOIN categories ON products.CategoryID = categories.CategoryID WHERE YEAR(orders.OrderDate) = YEAR(CURDATE()) GROUP BY categories.CategoryName","SELECT p.CategoryID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID JOIN products p ON od.ProductID = p.ProductID WHERE YEAR(o.OrderDate) = YEAR(CURRENT_DATE) GROUP BY p.CategoryID;","The generated SQL query correctly calculates the total sales for each product category this year but it groups by 'CategoryID' instead of 'CategoryName'. The ground truth query groups by 'CategoryName', which provides more meaningful information.","```sql
SELECT 
    products.CategoryID,
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales
FROM 
    orders
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
JOIN 
    products ON [Order Details].ProductID = products.ProductID
WHERE 
    YEAR(orders.OrderDate) = YEAR(CURDATE())
GROUP BY 
    products.CategoryID;
```","The generated SQL query groups by `CategoryID` from the products table, whereas the ground truth query groups by `CategoryName` from the categories table. The user question specifies 'product category', which implies the query should group by category name, providing a more meaningful and descriptive result.",Both,None
Calculate the total number of units ordered for each product category.,"SELECT c.CategoryID, SUM(od.Quantity) AS TotalUnitsOrdered FROM [Order Details] od INNER JOIN products p ON od.ProductID = p.ProductID INNER JOIN categories c ON p.CategoryID = c.CategoryID GROUP BY c.CategoryID;","You can use the following SQL query to calculate the total number of units ordered for each product category:

```sql
SELECT categories.CategoryName, SUM(orders.Quantity) AS TotalQuantity FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN categories ON products.CategoryID = categories.CategoryID GROUP BY categories.CategoryName;
```","The generated SQL query correctly calculates the total number of units ordered for each product category. The main difference is that the generated query displays the CategoryName instead of CategoryID, which still correctly answers the user's question.","```sql
SELECT products.CategoryID, SUM([Order Details].Quantity) AS TotalUnitsOrdered
FROM [Order Details]
JOIN products ON [Order Details].ProductID = products.ProductID
GROUP BY products.CategoryID;
```",The generated query does not join the 'categories' table to get the correct 'CategoryID'. It only groups by 'products.CategoryID' without confirming it corresponds correctly to the categories.,FT,Base
Which products need reordering?,SELECT ProductName FROM products WHERE UnitsInStock <= ReorderLevel;,"```sql
SELECT ProductName FROM products WHERE UnitsInStock < ReorderLevel;
```","The generated SQL query uses the condition 'UnitsInStock < ReorderLevel' which does not include cases where UnitsInStock is exactly equal to ReorderLevel. According to the ground truth query, products should be reordered even if UnitsInStock is exactly equal to ReorderLevel (i.e., 'UnitsInStock <= ReorderLevel'). Therefore, the condition should be 'UnitsInStock <= ReorderLevel' to match the requirement accurately.","```sql
SELECT ProductID, ProductName, UnitsInStock, ReorderLevel
FROM products
WHERE UnitsInStock <= ReorderLevel AND Discontinued = 0;
```","The generated SQL query retrieves all the necessary information to determine which products need reordering, including additional columns such as ProductID and UnitsInStock. The critical check for UnitsInStock being less than or equal to the ReorderLevel is present and accurate.",Base,FT
How many products have a reorder level higher than 20?,SELECT COUNT(*) AS HighReorderProducts FROM products WHERE ReorderLevel > 20;,"SELECT ProductID, ProductName FROM products WHERE ReorderLevel > 20;","The generated SQL query SELECT ProductID, ProductName FROM products WHERE ReorderLevel > 20; retrieves the ProductID and ProductName for products with a ReorderLevel higher than 20. However, the user asked for the count of such products, which the ground truth query (SELECT COUNT(*) AS HighReorderProducts FROM products WHERE ReorderLevel > 20;) correctly answers by returning the number of products matching the criteria.","```sql
SELECT COUNT(*) AS ProductCount
FROM products
WHERE ReorderLevel > 20;
```",Both queries correctly count the number of products with a reorder level higher than 20. The column naming in the result set is different but that does not affect the correctness of the query.,Base,FT
Find the customers who have not placed any orders in the current year.,"SELECT CustomerID FROM customers WHERE CustomerID NOT IN (SELECT DISTINCT CustomerID FROM orders WHERE OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR));",SELECT CustomerID FROM customers WHERE CustomerID NOT IN (SELECT CustomerID FROM orders WHERE YEAR(OrderDate) = YEAR(CURDATE()));,"The generated SQL query filters orders from the current year using WHERE YEAR(OrderDate) = YEAR(CURDATE()). This assumes the current year exclusively, while the ground truth SQL query considers a 1-year interval starting from the current date using DATE_SUB(CURDATE(), INTERVAL 1 YEAR), which might lead to different results depending on the current date.","```sql
SELECT DISTINCT CustomerID 
FROM customers 
WHERE CustomerID NOT IN (
    SELECT DISTINCT CustomerID 
    FROM orders 
    WHERE YEAR(OrderDate) = YEAR(CURRENT_DATE())
);
```","The generated SQL query accurately identifies customers who have not placed any orders in the current year by comparing the year of the order date with the current year. However, the ground truth query filters orders placed in the last year. If the current year and last year period definitions do not match (e.g., if the current date is Jan 5 and looking for orders since Jan 5 last year), results might differ.",Both,None
How many units of each product were sold in the first quarter of 2023?,"SELECT products.ProductID, SUM([Order Details].Quantity) AS units_sold FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31' GROUP BY products.ProductID","SELECT products.ProductID, SUM([Order Details].Quantity) AS total_units_sold FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31' GROUP BY products.ProductID","The generated SQL query correctly calculates the total units sold for each product in the first quarter of 2023 by summing the quantities from the Order Details table, joining with the products and orders tables, and filtering by the appropriate date range. The only difference from the ground truth is the alias for the sum column, which does not affect the correctness of the query.","```sql
SELECT products.ProductID, SUM([Order Details].Quantity) AS units_sold
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31'
GROUP BY products.ProductID
```","The generated SQL query does not include the join with the products table, which is necessary to correctly reference the ProductID from the products table.",FT,Base
What percentage of total stock does each product contribute?,"SELECT p.ProductID, ROUND(p.UnitsInStock / (SELECT SUM(UnitsInStock) FROM products) * 100, 2) AS StockPercentage FROM products p;","SELECT p.ProductName, ((p.UnitsInStock * p.UnitPrice) / (SELECT SUM(UnitsInStock * UnitPrice) FROM products)) * 100 AS StockContributionPercentage FROM products p;","The generated SQL query calculates the percentage contribution to the total value of the stock (UnitsInStock * UnitPrice) for each product, whereas the ground truth query calculates the percentage contribution to the total units in stock for each product.","```sql
SELECT 
    p.ProductID,
    p.ProductName,
    (p.UnitsInStock * 100.0 / SUM(p.UnitsInStock) OVER ()) AS StockPercentage
FROM 
    products p;
```",The generated SQL query correctly calculates the percentage of total stock for each product using a window function. The use of window functions and direct SELECT subqueries both provide the desired result. The schema and logic are correct.,Base,FT
Which employee processed the highest number of orders last month?,"SELECT e.EmployeeID, COUNT(o.OrderID) AS OrderCount FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE YEAR(o.OrderDate) = YEAR(CURDATE()) AND MONTH(o.OrderDate) = MONTH(CURDATE()) - 1 GROUP BY e.EmployeeID ORDER BY OrderCount DESC LIMIT 1;","```sql
SELECT e.EmployeeID, COUNT(od.OrderID) AS TotalOrders
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
JOIN [Order Details] od ON o.OrderID = od.OrderID
WHERE DATE_PART('month', o.OrderDate) = DATE_PART('month', CURRENT_DATE - INTERVAL '1' MONTH)
AND DATE_PART('year', o.OrderDate) = DATE_PART('year', CURRENT_DATE - INTERVAL '1' MONTH)
GROUP BY e.EmployeeID
ORDER BY TotalOrders DESC
LIMIT 1;
```","The generated SQL query includes a join with the [Order Details] table which is not required for this question. The User Question asks for the number of orders processed by each employee, not the details of items within each order. Additionally, the date filtering condition in the generated query uses DATE_PART which might be specific to certain databases and is more complicated compared to the simpler and more universally supported YEAR and MONTH functions in the ground truth query.","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, COUNT(o.OrderID) AS OrderCount
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
WHERE MONTH(o.OrderDate) = MONTH(CURDATE() - INTERVAL 1 MONTH) 
  AND YEAR(o.OrderDate) = YEAR(CURDATE())
GROUP BY e.EmployeeID
ORDER BY OrderCount DESC
LIMIT 1;
```","The generated query uses the same filtering logic for determining the orders in the last month but includes the first and last names of employees in the SELECT clause, which is not present in the ground truth query. The schema is also slightly incorrect as the generated query uses e.EmployeeID, e.FirstName, e.LastName while ground truth query uses only e.EmployeeID.",Both,None
What is the correlation between employee hire date and performance?,"SELECT employees.EmployeeID, employees.HireDate, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY employees.EmployeeID ORDER BY employees.HireDate;","SELECT e.EmployeeID, e.HireDate, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.OrderDate BETWEEN e.HireDate AND DATE_ADD(e.HireDate, INTERVAL 1 YEAR) GROUP BY e.EmployeeID, e.HireDate ORDER BY e.Salary ASC;","The generated query includes a WHERE clause that limits the orders to those within a year of the hire date, which is not mentioned in the user's question. Additionally, the grouping involves both EmployeeID and HireDate, while the ground truth query only groups by EmployeeID. The ordering is also incorrect as it orders by Salary instead of HireDate.","```sql
SELECT 
    e.HireDate, 
    SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM 
    employees e
JOIN 
    orders o ON e.EmployeeID = o.EmployeeID
JOIN 
    [Order Details] od ON o.OrderID = od.OrderID
GROUP BY 
    e.HireDate;
```","The generated SQL query groups by HireDate rather than EmployeeID, which would result in incorrect aggregation of sales data for employees sharing the same hire date. The ground truth SQL query correctly groups by EmployeeID and orders the results by HireDate.",Both,None
