User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
Find the top 3 products with the most significant increase in order quantities month-over-month.,"WITH MonthlySales AS (SELECT DATE_TRUNC('month', o.OrderDate) AS Month, od.ProductID, SUM(od.Quantity) AS TotalQuantity FROM [Order Details] od JOIN orders o ON od.OrderID = o.OrderID GROUP BY Month, od.ProductID), MonthOverMonthChange AS (SELECT a.ProductID, a.Month, a.TotalQuantity, a.TotalQuantity - COALESCE(b.TotalQuantity, 0) AS Increase FROM MonthlySales a LEFT JOIN MonthlySales b ON a.ProductID = b.ProductID AND a.Month = b.Month + INTERVAL '1 month') SELECT ProductID FROM MonthOverMonthChange ORDER BY Increase DESC LIMIT 3;","```sql
WITH MonthlyOrderQuantities AS (
    SELECT 
        p.ProductID, 
        p.ProductName, 
        EXTRACT(YEAR FROM o.OrderDate) AS OrderYear,
        EXTRACT(MONTH FROM o.OrderDate) AS OrderMonth,
        SUM(od.Quantity) AS TotalQuantity
    FROM 
        [Order Details] od
    JOIN 
        orders o ON od.OrderID = o.OrderID
    JOIN 
        products p ON od.ProductID = p.ProductID
    GROUP BY 
        p.ProductID, p.ProductName, OrderYear, OrderMonth
),
MonthlyIncreases AS (
    SELECT 
        Current.ProductID, 
        Current.ProductName,
        Current.OrderYear,
        Current.OrderMonth,
        Current.TotalQuantity - COALESCE(Previous.TotalQuantity, 0) AS QuantityIncrease
    FROM 
        MonthlyOrderQuantities Current
    LEFT JOIN 
        MonthlyOrderQuantities Previous 
        ON Current.ProductID = Previous.ProductID 
        AND Current.OrderYear = Previous.OrderYear 
        AND Current.OrderMonth = Previous.OrderMonth + 1
)
SELECT 
    ProductID, 
    ProductName, 
    SUM(QuantityIncrease) AS TotalIncrease
FROM 
    MonthlyIncreases
WHERE 
    QuantityIncrease > 0
GROUP BY 
    ProductID, ProductName
ORDER BY 
    TotalIncrease DESC
LIMIT 3;
```",The generated query computes the month-over-month increase in quantities differently and requires adjustment for date handling compared to the ground truth query.,"SELECT current_month.product_id, ((current_month.quantity - COALESCE(previous_month.quantity, 0)) / NULLIF(previous_month.quantity, 0)) * 100 AS increase_percentage FROM (SELECT p.ProductName, od.ProductID AS product_id, SUM(od.Quantity) AS quantity, EXTRACT(YEAR FROM o.OrderDate) AS order_year, EXTRACT(MONTH FROM o.OrderDate) AS order_month FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID JOIN orders o ON o.OrderID = od.OrderID GROUP BY p.ProductName, od.ProductID, order_year, order_month) AS current_month LEFT JOIN (SELECT p.ProductName, od.ProductID AS product_id, SUM(od.Quantity) AS quantity, EXTRACT(YEAR FROM o.OrderDate) AS order_year, EXTRACT(MONTH FROM o.OrderDate) AS order_month FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID JOIN orders o ON o.OrderID = od.OrderID GROUP BY p.ProductName, od.ProductID, order_year, order_month) AS previous_month ON current_month.product_id = previous_month.product_id AND previous_month.order_year = current_month.order_year AND previous_month.order_month = current_month.order_month - 1 ORDER BY increase_percentage DESC LIMIT 3","The generated query calculates month-over-month percentage increase, while the ground truth calculates absolute change in quantities. They measure different metrics.",None
Find orders with a shipping cost over $100.,SELECT OrderID FROM orders WHERE Freight > 100;,"```sql
SELECT *
FROM orders
WHERE Freight > 100;
```","The generated query returns all columns from the 'orders' table, while the ground truth query returns only the 'OrderID' column.",SELECT OrderID FROM orders WHERE Freight > 100;,Both queries are identical and accurately return orders with a freight cost greater than $100.,FT
Which product categories have the highest aggregate sales?,"SELECT CategoryID, SUM(od.Quantity * od.UnitPrice) AS TotalSales FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY CategoryID ORDER BY TotalSales DESC;","```sql
SELECT p.CategoryID, SUM(od.Quantity * od.UnitPrice) AS TotalSales
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.CategoryID
ORDER BY TotalSales DESC;
```","Both queries join the 'products' table and the 'Order Details' table on ProductID, group by CategoryID, calculate total sales, and order the results by total sales in descending order. The order of joins and columns does not affect the outcome.","SELECT pc.CategoryName, SUM(od.Quantity * od.UnitPrice) AS TotalSales FROM products p JOIN categories pc ON p.CategoryID = pc.CategoryID JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY pc.CategoryName ORDER BY TotalSales DESC;","The generated query returns CategoryName, while the ground truth query returns CategoryID. They could potentially yield the same result, but they group by different fields.",Base
How many orders were fulfilled within the required date in the first quarter of 2023?,SELECT COUNT(OrderID) AS OnTimeOrders FROM orders WHERE ShippedDate <= RequiredDate AND EXTRACT(YEAR FROM OrderDate) = 2023 AND EXTRACT(QUARTER FROM OrderDate) = 1;,"```sql
SELECT COUNT(OrderID) AS FulfilledOrders
FROM orders
WHERE ShippedDate <= RequiredDate
AND OrderDate >= '2023-01-01' AND OrderDate < '2023-04-01';
```","Both queries count orders with ShippedDate on or before RequiredDate and filter OrderDate within the first quarter of 2023, but use different methods to specify the date range.",SELECT COUNT(orders.OrderID) AS on_time_orders FROM orders WHERE orders.ShippedDate <= orders.RequiredDate AND YEAR(orders.ShippedDate) = 2023 AND MONTH(orders.ShippedDate) BETWEEN 1 AND 3,"The generated query filters by ShippedDate being in the first quarter of 2023, whereas the ground truth checks the OrderDate. These are different date fields, potentially leading to different results.",Base
Identify suppliers with average lead times above the overall average lead time.,"SELECT s.CompanyName FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID JOIN orders o ON p.ProductID = o.OrderID GROUP BY s.CompanyName HAVING AVG(DATEDIFF(o.ShippedDate, o.OrderDate)) > (SELECT AVG(DATEDIFF(o2.ShippedDate, o2.OrderDate)) FROM orders o2);","```sql
SELECT s.SupplierID, s.CompanyName, AVG(DATEDIFF(o.ShippedDate, o.OrderDate)) AS AverageLeadTime
FROM suppliers s
JOIN products p ON s.SupplierID = p.SupplierID
JOIN [Order Details] od ON p.ProductID = od.ProductID
JOIN orders o ON od.OrderID = o.OrderID
GROUP BY s.SupplierID, s.CompanyName
HAVING AVG(DATEDIFF(o.ShippedDate, o.OrderDate)) > (
    SELECT AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate))
    FROM orders
    JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
    JOIN products ON [Order Details].ProductID = products.ProductID
)
```","The generated query has an extra join with 'Order Details' table, which isn't present in the ground truth query. This might affect the results.","SELECT suppliers.CompanyName, AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) AS supplier_avg_lead_time FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY suppliers.CompanyName HAVING supplier_avg_lead_time > (SELECT AVG(DATEDIFF(orders.ShippedDate, orders.OrderDate)) FROM orders);",The generated query incorrectly joins 'Order Details' with ProductID instead of matching 'OrderID' with orders. Ground truth uses correct join on orders and does not use 'Order Details'.,None
What is the overall customer retention rate for the past three months?,"SELECT (COUNT(DISTINCT o1.CustomerID) - COUNT(DISTINCT o2.CustomerID)) / NULLIF(COUNT(DISTINCT o2.CustomerID), 0) AS RetentionRate FROM orders o1 LEFT JOIN orders o2 ON o1.CustomerID = o2.CustomerID WHERE o1.OrderDate BETWEEN CURRENT_DATE - INTERVAL '3 months' AND CURRENT_DATE AND o2.OrderDate < CURRENT_DATE - INTERVAL '3 months';","```sql
SELECT 
    (COUNT(DISTINCT o2.CustomerID) * 1.0 / NULLIF(COUNT(DISTINCT o1.CustomerID), 0)) AS CustomerRetentionRate
FROM 
    orders o1
LEFT JOIN 
    orders o2 ON o1.CustomerID = o2.CustomerID AND o2.OrderDate BETWEEN DATEADD(MONTH, -3, CURRENT_DATE) AND CURRENT_DATE
WHERE 
    o1.OrderDate < DATEADD(MONTH, -3, CURRENT_DATE);
```","The generated SQL computes retention as customers who ordered in the past three months compared to those before. The ground truth checks customers from the past three months who did not order before that, effectively measuring attrition rate instead.",SELECT COUNT(DISTINCT CASE WHEN o.OrderDate BETWEEN '2023-07-01' AND '2023-09-30' THEN o.CustomerID END) * 1.0 / COUNT(DISTINCT CASE WHEN o.OrderDate < '2023-07-01' THEN o.CustomerID END) AS RetentionRate FROM orders o;,"The generated query calculates the retention rate by dividing the number of distinct customers from the last three months by those from before, without ensuring they appeared in both periods. The ground truth query calculates retention rate by finding customers who appear in the current period but not in the previous period, which reflects retention more accurately.",None
Which category has the highest number of discontinued products?,"SELECT CategoryID, COUNT(*) AS DiscontinuedProducts FROM products WHERE Discontinued = 1 GROUP BY CategoryID ORDER BY DiscontinuedProducts DESC;","```sql
SELECT CategoryID, COUNT(*) AS DiscontinuedCount
FROM products
WHERE Discontinued = 1
GROUP BY CategoryID
ORDER BY DiscontinuedCount DESC
LIMIT 1;
```","Both queries select the category with the highest count of discontinued products. The generated query uses LIMIT 1 to achieve this, whereas the ground truth query omits it but implies the same objective with the ordering. The result is the same.","SELECT c.CategoryID, COUNT(p.ProductID) AS DiscontinuedCount FROM products p JOIN categories c ON p.CategoryID = c.CategoryID WHERE p.Discontinued = 1 GROUP BY c.CategoryID ORDER BY DiscontinuedCount DESC LIMIT 1;",Both queries calculate the count of discontinued products per category and sort them in descending order to find the category with the highest count.,both
Which supplier has the most diverse product range?,"SELECT s.SupplierID, s.SupplierName, COUNT(DISTINCT p.CategoryID) AS CategoryCount FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID GROUP BY s.SupplierID, s.SupplierName ORDER BY CategoryCount DESC LIMIT 1;","```sql
SELECT SupplierID, COUNT(DISTINCT ProductID) AS ProductCount
FROM products
GROUP BY SupplierID
ORDER BY ProductCount DESC
LIMIT 1;
```","The generated query counts distinct ProductIDs, focusing on the number of unique products, while the ground truth query counts distinct CategoryIDs for each supplier, measuring product range diversity by categories.","SELECT s.SupplierID, s.CompanyName, COUNT(DISTINCT p.ProductID) AS ProductCount FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID GROUP BY s.SupplierID, s.CompanyName ORDER BY ProductCount DESC LIMIT 1;","The generated query counts distinct ProductIDs, while the ground truth counts distinct CategoryIDs, indicating a focus on product variety rather than category variety.",None
Identify products with the highest turnover rate last quarter.,"SELECT p.ProductName, SUM(od.Quantity * od.UnitPrice) / NULLIF(AVG(p.UnitsInStock), 0) AS TurnoverRate FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID WHERE od.OrderDate >= DATEADD(quarter, -1, CURRENT_DATE) AND od.OrderDate < CURRENT_DATE GROUP BY p.ProductName ORDER BY TurnoverRate DESC;","```sql
SELECT p.ProductID, p.ProductName, 
       SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.OrderID IN (SELECT OrderID FROM Orders WHERE OrderDate >= DATEADD(quarter, -1, GETDATE()))
GROUP BY p.ProductID, p.ProductName
ORDER BY InventoryTurnoverRatio DESC
LIMIT 10;
```","The generated query uses GETDATE() for the date and doesn't consider the full last quarter date range. It also limits results to 10 products, which is not specified in the user question.","SELECT YEAR(OrderDate) AS Year, QUARTER(OrderDate) AS Quarter, products.ProductID, SUM([Order Details].Quantity) / NULLIF(AVG(Stock), 0) AS TurnoverRate FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE OrderDate BETWEEN DATE_SUB(CURRENT_DATE, INTERVAL 1 QUARTER) AND CURRENT_DATE GROUP BY Year, Quarter, products.ProductID ORDER BY TurnoverRate DESC LIMIT 1;","The generated query computes turnover rate based on SUM of order quantities and AVG of stock, grouped by product ID. However, it filters using `DATE_SUB` for ordering date versus the `DATEADD` logic in the ground truth, potentially covering a different date range. It also differs in the calculation logic and does not involve `ProductName`. The generated query also has syntax causing incorrect calculations (AVG vs SUM*UnitPrice).",None
Which orders include products that are currently out of stock?,SELECT DISTINCT OrderID FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID WHERE products.UnitsInStock = 0;,"```sql
SELECT DISTINCT od.OrderID
FROM [Order Details] od
JOIN products p ON od.ProductID = p.ProductID
WHERE p.UnitsInStock = 0;
```","Both queries select distinct OrderIDs from the 'Order Details' table by joining with the 'products' table where the products have zero units in stock. The joins and conditions are identical, ensuring the same result.",SELECT DISTINCT o.OrderID FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID JOIN products p ON od.ProductID = p.ProductID WHERE p.UnitsInStock = 0;,Both queries correctly identify orders that include products currently out of stock. They join the necessary tables and check where UnitsInStock is 0. The structural differences do not impact the correctness.,both
Which product categories have the highest inventory turnover ratio?,"SELECT CategoryID, (SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock)) AS InventoryTurnover FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY CategoryID ORDER BY InventoryTurnover DESC;","```sql
SELECT p.CategoryID, 
       SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.CategoryID
ORDER BY InventoryTurnoverRatio DESC;
```","Both queries calculate the Inventory Turnover Ratio for each product category and order the results in descending order. They perform similar operations: summing the revenue from the order details and dividing by the average units in stock, grouped by CategoryID. The queries will yield the same results.","SELECT categories.CategoryName, (SUM([Order Details].Quantity * [Order Details].UnitPrice) / AVG(products.UnitsInStock)) AS inventory_turnover_ratio FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN categories ON products.CategoryID = categories.CategoryID GROUP BY categories.CategoryName ORDER BY inventory_turnover_ratio DESC;","The generated query calculates the inventory turnover for each category using CategoryName and groups by it, while the ground truth query uses CategoryID for grouping. If each CategoryID maps to a unique CategoryName, they will produce similar results, but the queries differ in how they identify and group categories.",Base
What is the average order value for each month in 2023?,"SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS avg_order_value FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' GROUP BY DATE_FORMAT(orders.OrderDate, '%Y-%m')","```sql
SELECT 
    EXTRACT(MONTH FROM orders.OrderDate) AS month, 
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS avg_order_value 
FROM 
    [Order Details] 
JOIN 
    orders ON [Order Details].OrderID = orders.OrderID 
WHERE 
    orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31' 
GROUP BY 
    EXTRACT(MONTH FROM orders.OrderDate) 
ORDER BY 
    month;
```","The generated query extracts the month, but the ground truth query uses a format that includes both year and month, which can affect grouping in some databases.","SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS average_order_value FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE YEAR(orders.OrderDate) = 2023 GROUP BY DATE_FORMAT(orders.OrderDate, '%Y-%m')","Both queries calculate the average order value for each month in 2023 using the same logic. The only difference is in filtering: the generated query uses the YEAR function, while the ground truth uses a BETWEEN statement. Both achieve the same result.",FT
Identify the average order value for each month this year.,"SELECT MONTH(orders.OrderDate) AS month, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS avg_order_value FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE YEAR(orders.OrderDate) = YEAR(CURDATE()) GROUP BY month","```sql
SELECT 
    DATE_FORMAT(orders.OrderDate, '%Y-%m') AS month,
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS avg_order_value
FROM 
    [Order Details] 
JOIN 
    orders ON [Order Details].OrderID = orders.OrderID 
WHERE 
    YEAR(orders.OrderDate) = YEAR(CURRENT_DATE)
GROUP BY 
    month
```","Both queries calculate the average order value for each month of the current year and use the same logic and filtering conditions. The main difference is in formatting the date, but they will yield the same result.","SELECT DATE_FORMAT(o.OrderDate, '%Y-%m') AS month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) / COUNT(DISTINCT o.OrderID) AS monthly_avg_value FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.OrderDate >= '2023-01-01' AND o.OrderDate < '2024-01-01' GROUP BY DATE_FORMAT(o.OrderDate, '%Y-%m');","Both queries calculate the average order value per month for the current year by summarizing the values from the 'Order Details' table joined with 'orders'. They group results by month and use the same method to compute the average. Although formatting for grouping dates and filtering is different, the results will be the same, covering the full year and calculating monthly averages accurately.",both
Identify employees with zero orders processed.,SELECT e.EmployeeID FROM employees e LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE o.OrderID IS NULL;,"```sql
SELECT e.EmployeeID, e.FirstName, e.LastName
FROM employees e
LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID
GROUP BY e.EmployeeID
HAVING COUNT(o.OrderID) = 0;
```","Both queries accurately identify employees with zero orders processed. The generated query uses HAVING COUNT(o.OrderID) = 0 to filter employees that have no associated orders, while the ground truth query uses WHERE o.OrderID IS NULL. Both approaches yield the same result.","SELECT e.EmployeeID, e.FirstName, e.LastName FROM employees e LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID WHERE o.OrderID IS NULL;","The generated query includes additional columns (FirstName, LastName) not present in the ground truth query.",Base
What is the total revenue generated by customer 'XYZ Company'?,SELECT SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE c.CompanyName = 'XYZ Company';,"```sql
SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue
FROM customers
JOIN orders ON customers.CustomerID = orders.CustomerID
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE customers.CompanyName = 'XYZ Company';
```","Both queries are equivalent; they calculate the total revenue generated by 'XYZ Company' by joining the customers, orders, and order details tables, and applying the same SUM calculation with the same WHERE condition.",SELECT SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE o.CustomerID = 'XYZ Company';,"The generated query uses 'CustomerID' to filter, but it should use 'CompanyName' like the ground truth query to correctly identify 'XYZ Company'.",Base
What are the top 5 countries in terms of supplier presence?,"SELECT Country, COUNT(DISTINCT SupplierID) AS SupplierCount FROM suppliers GROUP BY Country ORDER BY SupplierCount DESC LIMIT 5;","```sql
SELECT Country, COUNT(SupplierID) AS SupplierCount
FROM suppliers
GROUP BY Country
ORDER BY SupplierCount DESC
LIMIT 5;
```","Both queries aim to find the top 5 countries by supplier presence. The use of DISTINCT in the ground truth does not affect the results if each SupplierID is unique per country in the dataset. Therefore, both queries will yield the same result in such a scenario.","SELECT Country, COUNT(*) AS SupplierCount FROM suppliers GROUP BY Country ORDER BY SupplierCount DESC LIMIT 5;","Both queries correctly count suppliers per country and limit the results to the top 5, assuming each supplier has a unique entry for each country in the table.",both
What is the total sales revenue generated in the first quarter of 2023?,SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31',"```sql
SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales 
FROM [Order Details] 
JOIN orders ON [Order Details].OrderID = orders.OrderID 
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31'
```",The generated SQL query and the ground truth query are identical and correctly calculate the total sales revenue for the specified date range.,SELECT SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS total_sales FROM [Order Details] od JOIN orders o ON od.OrderID = o.OrderID WHERE QUARTER(o.OrderDate) = 1 AND YEAR(o.OrderDate) = 2023;,"Both queries calculate the total sales revenue for the first quarter of 2023 by summing the product of UnitPrice, Quantity, and (1 - Discount) from the Order Details table, filtered by OrderDate. The generated query uses QUARTER and YEAR functions, while the ground truth uses a BETWEEN date range. Both approaches yield the same results.",both
Which product categories have the highest total sales revenue?,"SELECT categories.CategoryID, categories.CategoryName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM categories INNER JOIN products ON categories.CategoryID = products.CategoryID INNER JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY categories.CategoryID, categories.CategoryName ORDER BY TotalSales DESC;","```sql
SELECT p.CategoryID, SUM(od.Quantity * od.UnitPrice) AS TotalSalesRevenue
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.CategoryID
ORDER BY TotalSalesRevenue DESC;
```","The generated query does not account for discounts applied in the 'Order Details' table, which affects the total sales revenue calculation.","SELECT categories.CategoryID, SUM(OrderDetails.Quantity * OrderDetails.UnitPrice) AS TotalSales FROM OrderDetails JOIN products ON OrderDetails.ProductID = products.ProductID JOIN categories ON products.CategoryID = categories.CategoryID GROUP BY categories.CategoryID ORDER BY TotalSales DESC;","The generated query does not account for discounts in the sales calculation, whereas the ground truth query does.",None
Which supplier has the highest number of discontinued products?,"SELECT suppliers.CompanyName, COUNT(products.ProductID) AS DiscontinuedProducts FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID WHERE products.Discontinued = 1 GROUP BY suppliers.CompanyName ORDER BY DiscontinuedProducts DESC LIMIT 1;","```sql
SELECT suppliers.CompanyName, COUNT(products.ProductID) AS DiscontinuedProducts
FROM suppliers
JOIN products ON suppliers.SupplierID = products.SupplierID
WHERE products.Discontinued = 1
GROUP BY suppliers.CompanyName
ORDER BY DiscontinuedProducts DESC
LIMIT 1;
```",Both queries are identical in logic and will produce the same results. They correctly identify the supplier with the most discontinued products.,"SELECT suppliers.CompanyName, COUNT(products.ProductID) AS DiscontinuedCount FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID WHERE products.Discontinued = 1 GROUP BY suppliers.SupplierID ORDER BY DiscontinuedCount DESC LIMIT 1;","Both queries accurately identify the supplier with the highest number of discontinued products. They differ only in naming the count column and grouping by SupplierID versus CompanyName, which does not affect the result.",both
What is the most common shipment method used for orders processed by each employee?,"SELECT employees.EmployeeID, ShipVia, COUNT(orders.OrderID) AS NumShipments FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID GROUP BY employees.EmployeeID, ShipVia ORDER BY NumShipments DESC;","```sql
SELECT e.EmployeeID, e.FirstName, e.LastName, o.ShipVia, COUNT(o.ShipVia) AS ShipmentCount
FROM employees e
JOIN orders o ON e.EmployeeID = o.EmployeeID
GROUP BY e.EmployeeID, o.ShipVia
ORDER BY e.EmployeeID, ShipmentCount DESC;
```","The generated query lists all shipment methods per employee and orders by employee and shipment count, while the ground truth query aims to find just the most common method, lacking a filter for the highest count.","SELECT employees.EmployeeID, employees.FirstName, employees.LastName, orders.ShipVia, COUNT(orders.OrderID) AS MethodCount FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID GROUP BY employees.EmployeeID, employees.FirstName, employees.LastName, orders.ShipVia;",The generated SQL query does not find the most common shipment method for each employee; it lists all methods used by each employee.,None
What is the average freight cost per shipped order?,SELECT AVG(Freight) AS AverageFreightCost FROM orders WHERE ShippedDate IS NOT NULL;,"```sql
SELECT AVG(Freight) AS AverageFreightCost
FROM orders
WHERE ShippedDate IS NOT NULL;
```",The generated SQL query and the ground truth query are identical and both correctly calculate the average freight cost for orders that have a shipped date.,SELECT AVG(Freight) AS AverageFreightCost FROM orders;,"The generated query calculates the average freight cost for all orders, whereas the ground truth query calculates it only for orders that have been shipped.",Base
Which supplier provides the most variety of products?,"SELECT SupplierID, COUNT(DISTINCT ProductID) AS ProductVariety FROM products GROUP BY SupplierID ORDER BY ProductVariety DESC LIMIT 1;","```sql
SELECT SupplierID, COUNT(DISTINCT ProductID) AS ProductVariety
FROM products
GROUP BY SupplierID
ORDER BY ProductVariety DESC
LIMIT 1;
```",The generated SQL query is functionally identical to the ground truth query and accurately answers the user's question by selecting the supplier with the most variety of products.,"SELECT SupplierID, COUNT(DISTINCT ProductID) AS ProductCount FROM products GROUP BY SupplierID ORDER BY ProductCount DESC LIMIT 1;",Both queries calculate the number of distinct products provided by each supplier and return the supplier with the highest count. The difference in alias names doesn't affect the result.,both
What is the total freight cost for orders shipped to 'USA'?,SELECT SUM(Freight) AS TotalFreightCost FROM orders WHERE ShipCountry = 'USA';,"```sql
SELECT SUM(Freight) AS TotalFreightCost
FROM orders
WHERE ShipCountry = 'USA';
```",Both queries correctly calculate the total freight cost for orders shipped to 'USA'. They are semantically equivalent and will yield the same result.,SELECT SUM(Freight) AS TotalFreightUSA FROM orders WHERE ShipCountry = 'USA';,"Both queries calculate the sum of freight for orders shipped to 'USA'. The only difference is the alias used for the result, which does not affect the outcome.",both
Which customers have the highest number of late deliveries?,"SELECT CustomerID, COUNT(*) AS LateDeliveries FROM orders WHERE ShippedDate > RequiredDate GROUP BY CustomerID ORDER BY LateDeliveries DESC LIMIT 1;","```sql
SELECT CustomerID, COUNT(OrderID) AS LateDeliveries
FROM orders
WHERE ShippedDate > RequiredDate
GROUP BY CustomerID
ORDER BY LateDeliveries DESC;
```","The generated query returns all customers with late deliveries sorted in descending order, while the ground truth query returns only the customer with the highest number of late deliveries due to the LIMIT 1 clause.","SELECT o.CustomerID, COUNT(*) AS LateDeliveries FROM orders o WHERE DATEDIFF(o.RequiredDate, o.ShippedDate) < 0 GROUP BY o.CustomerID ORDER BY LateDeliveries DESC;","The generated query does not limit the results to the single customer with the most late deliveries, while the ground truth query uses LIMIT 1 to do so.",None
List customers with the highest average discount per order.,"SELECT c.CustomerID, AVG(od.Discount) AS AverageDiscount FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.CustomerID ORDER BY AverageDiscount DESC;","```sql
SELECT c.CustomerID, c.CompanyName, AVG(od.Discount) AS AverageDiscount
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY c.CustomerID, c.CompanyName
ORDER BY AverageDiscount DESC;
```",Both queries calculate the average discount per customer and return a descending order of averages. Including 'CompanyName' in the generated query does not affect the result regarding the average discount.,"SELECT c.CustomerID, AVG(od.Discount) AS AvgDiscount FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.CustomerID ORDER BY AvgDiscount DESC;","The generated SQL query and the ground truth query are functionally equivalent. Both queries join the same tables and calculate the average discount per customer, ordering the results in descending order by the average discount. The only difference is the alias for the average discount column, which does not affect the correctness of the result.",both
